scenario,decision_date,requested_execution_date,actual_execution_date,role,date,ticker,market,open,high,low,close,volume,turnover_value,source_url,source_route,source_quality,adjustment_policy,raw_sha256,raw_cache_path,retrieval_time_utc,future_data_violation_count,registry_key_preexisting
placebo_seed_17,2023-07-24,2023-07-25,2023-07-25,prior_exit,2023-07-25,6470,TPEx,78.8,79.4,77.5,78.4,1786.0,140426.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=6470&date=2023%2F07%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,3503eedae9777d3c6e1579e2e17d1e1047ac8dff005516c97863cd3a88120f3e,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_phase_b_placebo_tradability_termination_pit_gap_fill_20260712\raw_audit_samples\TPEx_6470_2023-07.json,2026-07-12T01:26:19.074504+00:00,0,False
placebo_seed_17,2025-04-08,2025-04-09,2025-04-09,prior_exit,2025-04-09,1522,TWSE,43.6,44.15,40.05,40.05,3948327.0,163496961.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=1522&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,80ffd270953a7bc2025d46d87cd824b93ec7c56c5c24f4249df624b2929554f4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1522_2025-04.json,2026-07-12T05:14:30.096355+00:00,0,False
placebo_seed_17,2025-04-08,2025-04-09,2025-04-09,new_entry,2025-04-09,5534,TWSE,87.0,87.0,78.7,78.7,4439824.0,365317315.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=5534&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,d81d764577559ed25dea9345e6c7aeffd24702cac1e551d7ef5f74d2bd6be666,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_5534_2025-04.json,2026-07-12T05:14:31.353540+00:00,0,True
placebo_seed_17,2025-04-21,2025-04-22,2025-04-22,prior_exit,2025-04-22,5534,TWSE,84.0,84.0,81.0,82.0,1846421.0,151534979.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=5534&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,d81d764577559ed25dea9345e6c7aeffd24702cac1e551d7ef5f74d2bd6be666,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_5534_2025-04.json,2026-07-12T05:14:31.353540+00:00,0,False
placebo_seed_17,2025-04-21,2025-04-22,2025-04-22,new_entry,2025-04-22,3563,TWSE,347.0,367.5,341.5,341.5,1623516.0,573310956.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250401&stockNo=3563&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,cac0a15d08c5180bc597e2d53817db8d570077626c6408957c427423513ec14b,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_3563_2025-04.json,2026-07-12T05:14:30.882844+00:00,0,True
placebo_seed_29,2026-06-01,2026-06-02,2026-06-02,prior_exit,2026-06-02,6190,TPEx,91.5,93.0,82.5,83.3,13892.0,1188663.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=6190&date=2026%2F06%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5414a120d6971ce0ff24bf22fa0a29c545fcc9d5d9c8cfb214c003f12aba77b4,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_6190_2026-06.json,2026-07-12T05:14:31.530230+00:00,0,False
placebo_seed_29,2026-06-01,2026-06-02,2026-06-02,new_entry,2026-06-02,6257,TWSE,220.5,227.0,213.5,215.0,13068896.0,2852831088.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260601&stockNo=6257&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,032f6c43c102579d9664c322305e492485be9c0792627dbf1ffb373564553746,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_6257_2026-06.json,2026-07-12T05:14:31.618008+00:00,0,True
placebo_seed_43,2023-10-30,2023-10-31,2023-10-31,prior_exit,2023-10-31,8048,TPEx,84.3,84.9,80.2,80.6,1625.0,133970.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8048&date=2023%2F10%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,f7966884f754d764647a76f25201c0403eec49591be7fc6c5083f45e8ece9073,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_8048_2023-10.json,2026-07-12T05:14:31.844807+00:00,0,False
placebo_seed_43,2023-10-30,2023-10-31,2023-10-31,new_entry,2023-10-31,3661,TWSE,2755.0,2795.0,2625.0,2625.0,3031844.0,8194118270.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20231001&stockNo=3661&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,37178d0992ef4c57f2407235dadad7c01aaf271e679719cd02ed208d4a8a849c,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_3661_2023-10.json,2026-07-12T05:14:30.958574+00:00,0,True
placebo_seed_43,2026-05-04,2026-05-05,2026-05-05,prior_exit,2026-05-05,4908,TPEx,236.5,250.0,236.5,250.0,776.0,192000.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=4908&date=2026%2F05%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,c83987b58fe871323e7b2273171419d2f385bb2fc5a27a9f2df56fd8a548cd58,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_4908_2026-05.json,2026-07-12T05:14:31.253909+00:00,0,False
placebo_seed_43,2026-05-04,2026-05-05,2026-05-05,new_entry,2026-05-05,2476,TWSE,115.0,117.5,113.0,116.0,4603104.0,532035619.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260501&stockNo=2476&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,8c2db909f50de8c22793ade42219aa93360cba84dae1094a2441c104eb0aa376,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_2476_2026-05.json,2026-07-12T05:14:30.440719+00:00,0,True
placebo_seed_71,2024-03-11,2024-03-12,2024-03-12,prior_exit,2024-03-12,4746,TWSE,101.0,102.0,100.0,100.0,1063820.0,107086412.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=4746&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,144cc8daa4b913054ecea564562b95b6cb8a9c5f2baae5d5c1b1093c9e71d268,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_4746_2024-03.json,2026-07-12T05:14:31.170808+00:00,0,False
placebo_seed_71,2024-03-11,2024-03-12,2024-03-12,new_entry,2024-03-12,6799,TWSE,189.0,194.5,189.0,193.0,1221433.0,234418502.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20240301&stockNo=6799&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,c733c3644f0c814961008c7d0707204f89ff887e41403497230f7dedec1804fa,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_6799_2024-03.json,2026-07-12T05:14:31.736630+00:00,0,True
placebo_seed_71,2025-06-02,2025-06-03,2025-06-03,prior_exit,2025-06-03,1618,TWSE,48.1,48.8,47.9,48.55,1572324.0,76057922.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250601&stockNo=1618&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,585929ea59ed465bf21a58633e9e9791e0719ccb27dbcc677e6f991483e778d5,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_1618_2025-06.json,2026-07-12T05:14:30.256379+00:00,0,False
placebo_seed_71,2025-06-02,2025-06-03,2025-06-03,new_entry,2025-06-03,2301,TWSE,101.5,103.5,101.0,103.0,8630547.0,886253864.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20250601&stockNo=2301&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,de2b605511fc6c57aa8501c621f6d9b902a4ea2796002c72b00f7f6ab1775fea,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_2301_2025-06.json,2026-07-12T05:14:30.351579+00:00,0,True
placebo_seed_71,2026-03-30,2026-03-31,2026-03-31,prior_exit,2026-03-31,3138,TWSE,175.0,180.0,163.5,167.5,2975355.0,504954079.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260301&stockNo=3138&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,4dae43e4dfc3b1f08c05615f1ebf713e2d7868a211d4498db65b6e9c19663520,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_3138_2026-03.json,2026-07-12T05:14:30.541228+00:00,0,False
placebo_seed_71,2026-03-30,2026-03-31,2026-03-31,new_entry,2026-03-31,3481,TWSE,24.5,25.05,23.8,23.85,308334588.0,7469981123.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20260301&stockNo=3481&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,545c29319b650eacc133c9567698998e675ee8517ac19ad0311984999f89b73f,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_3481_2026-03.json,2026-07-12T05:14:30.794332+00:00,0,True
placebo_seed_101,2023-12-11,2023-12-12,2023-12-12,prior_exit,2023-12-12,3152,TPEx,256.0,261.5,255.5,259.0,480.0,124314.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3152&date=2023%2F12%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,4ff30f9b5c7fa4f0297feaee2a656caf222ccc75611214913ea58f3a3cd71f8b,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_3152_2023-12.json,2026-07-12T05:14:30.674402+00:00,0,False
placebo_seed_101,2023-12-11,2023-12-12,2023-12-12,new_entry,2023-12-12,6117,TWSE,74.0,78.2,72.8,77.7,3162934.0,239223489.0,https://www.twse.com.tw/rwd/zh/afterTrading/STOCK_DAY?date=20231201&stockNo=6117&response=json,TWSE_RWD_STOCK_DAY,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,ffbd621f3b40173fd4e5ce0f92bd176f9f7765edde0321668f1c775881b91fab,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TWSE_6117_2023-12.json,2026-07-12T05:14:31.446608+00:00,0,True
placebo_seed_101,2026-02-09,2026-02-10,2026-02-10,prior_exit,2026-02-10,8088,TPEx,54.4,54.5,51.5,52.2,3112.0,163373.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=8088&date=2026%2F02%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,5d6150f133ca34a92c19d24b496194b010be4c891977960f1d204f65017c987a,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_8088_2026-02.json,2026-07-12T05:14:31.926223+00:00,0,False
placebo_seed_101,2026-02-09,2026-02-10,2026-02-10,new_entry,2026-02-10,3680,TPEx,407.0,408.5,402.5,404.5,574.0,232440.0,https://www.tpex.org.tw/www/zh-tw/afterTrading/tradingStock?code=3680&date=2026%2F02%2F01&response=json,TPEX_TRADING_STOCK,official_unadjusted_execution_ohlcv,official_unadjusted; no neighbour substitution; adjusted not fabricated,03bf153e3a973909c88f344fdc48e40155c676f0734f53d24b01463e46e6d6d9,C:\Users\zergv\Documents\Codex\2026-05-23\ai-stock-rotation-radar-https-docs\outputs\radar_vnext_p3_full_spec_v2_stage_b_placebo_ohlc_gap_fill_20260712\raw_audit_samples\TPEx_3680_2026-02.json,2026-07-12T05:14:31.044593+00:00,0,True
